what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378926729490
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1378926730638
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1378926730925
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1378926731999
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1378926734653
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1378926736132
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1378926737314
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1378926739923
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1378926742245
started,bundle,org.eclipse.wb.os,1.1.0.r37x201109091012,"org.eclipse.wb.os",1378926746207
started,bundle,org.eclipse.wb.os.win32,1.1.0.r37x201109091012,"org.eclipse.wb.os.win32",1378926746212
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1378926748556
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378926753578
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378926757892
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1378926779654
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1378926779719
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1378926792411
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378926795093
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378926796710
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378926798642
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378926906941
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378926909446
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378926966768
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378926970157
