what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1389309814682
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1389309906895
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389309907696
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389310237269
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1389310243736
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389310244186
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389310518116
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1389310523110
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1389310525526
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1389310540912
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1389310549472
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1389310557092
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389310558886
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389310667075
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1389310715975
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1389310718106
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389310723436
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389310723623
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1389310734328
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1389310734454
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1389310734647
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1389310740040
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1389310744409
